department_code,department_name
BT,Biotechnology
CE,Civil Engineering
CSE,Computer Science and Engineering
ECE,Electronics and Communication Engineering
EEE,Electrical and Electronics Engineering
ME,Mechanical Engineering
IOT,Internet of Things
ECSE,Electronics and Computer Science
AIDS,Artificial Intelligence and Data Science
CSIT,Computer Science and Information Technology
ARCH,Architecture
PHARM,Pharmacy
LAW,Law
MGMT,Management
COMM,Commerce
VCOMM,Visual Communication
FT,Food Technology
HSS,Humanities and Social Sciences
AGRI,Agriculture
ANIM,Animation and Gaming
MATH,Mathematics
PHY,Physics
CHEM,Chemistry
ENG,English
